frame,time,total_len,addr1,addr2,word4,width,height,word6,word7,matches_nv12
5754,1.29548,6144,14407248,21964368,251662080,64,64,0,0,True
5949,1.395064,6144,27339696,34896816,251662080,64,64,0,0,True
6661,1.496935,6144,1474800,9031920,251662080,64,64,0,0,True
7352,1.59743,6144,14407248,21964368,251662080,64,64,0,0,True
8347,1.794466,6144,1474800,9031920,251662080,64,64,0,0,True
8632,1.894152,6144,14407248,21964368,251662080,64,64,0,0,True
8636,1.894327,6144,14407248,21964368,251662080,64,64,0,0,True
9111,1.995672,6144,27339696,34896816,251662080,64,64,0,0,True
9400,2.094519,6144,1474800,9031920,251662080,64,64,0,0,True
9968,2.19488,6144,14407248,21964368,251662080,64,64,0,0,True
9972,2.195061,6144,14407248,21964368,251662080,64,64,0,0,True
10510,2.294459,6144,27339696,34896816,251662080,64,64,0,0,True
11034,2.396036,6144,1474800,9031920,251662080,64,64,0,0,True
11038,2.396223,6144,1474800,9031920,251662080,64,64,0,0,True
11568,2.496324,6144,14407248,21964368,251662080,64,64,0,0,True
24935,5.624427,6144,1474896,9032016,251662080,64,64,0,0,True
24939,5.624978,1827840,6267696,11428656,251662080,2720,448,0,0,True
24949,5.638233,6144,1474896,9032016,251662080,64,64,0,0,True
24953,5.675002,6144,1474896,9032016,251662080,64,64,0,0,True
24957,5.675435,1827840,6267696,11428656,251662080,2720,448,0,0,True
24965,5.741931,6144,1474896,9032016,251662080,64,64,0,0,True
24969,5.742348,1827840,6267696,11428656,251662080,2720,448,0,0,True
24985,5.808435,6144,1474896,9032016,251662080,64,64,0,0,True
24989,5.809039,1827840,6267696,11428656,251662080,2720,448,0,0,True
25005,5.875285,6144,1474896,9032016,251662080,64,64,0,0,True
25009,5.875731,1827840,6267696,11428656,251662080,2720,448,0,0,True
25037,5.941986,6144,1474896,9032016,251662080,64,64,0,0,True
25041,5.942442,1827840,6267696,11428656,251662080,2720,448,0,0,True
25053,6.008178,6144,1474896,9032016,251662080,64,64,0,0,True
25057,6.008713,1827840,6267696,11428656,251662080,2720,448,0,0,True
25137,6.075074,6144,1474896,9032016,251662080,64,64,0,0,True
25141,6.075501,1827840,6267696,11428656,251662080,2720,448,0,0,True
25215,6.141422,6144,1474896,9032016,251662080,64,64,0,0,True
25219,6.141894,1827840,6267696,11428656,251662080,2720,448,0,0,True
25322,6.208395,6144,1474896,9032016,251662080,64,64,0,0,True
25326,6.208919,1827840,6267696,11428656,251662080,2720,448,0,0,True
25345,6.275329,3072,1354832,8973392,251662080,32,64,0,0,True
25349,6.275529,6144,1474896,9032016,251662080,64,64,0,0,True
25353,6.276082,1827840,6267696,11428656,251662080,2720,448,0,0,True
25885,6.433471,6144,14407344,21964464,251662080,64,64,0,0,True
25889,6.434023,1827840,19200144,24361104,251662080,2720,448,0,0,True
34373,8.433043,6144,491856,8540496,251662080,64,64,0,0,True
37000,9.014744,6144,491856,8540496,251662080,64,64,0,0,True
37004,9.015236,1827840,6267696,11428656,251662080,2720,448,0,0,True
37014,9.028366,6144,491856,8540496,251662080,64,64,0,0,True
37034,9.07504,6144,491856,8540496,251662080,64,64,0,0,True
37038,9.075508,1827840,6267696,11428656,251662080,2720,448,0,0,True
37056,9.141458,6144,491856,8540496,251662080,64,64,0,0,True
37060,9.141906,1827840,6267696,11428656,251662080,2720,448,0,0,True
37068,9.208134,6144,491856,8540496,251662080,64,64,0,0,True
37072,9.208573,1827840,6267696,11428656,251662080,2720,448,0,0,True
37080,9.276387,6144,491856,8540496,251662080,64,64,0,0,True
37084,9.276946,1827840,6267696,11428656,251662080,2720,448,0,0,True
37591,9.446479,254976,13424304,21472944,251662080,2656,64,0,0,True
37596,9.44842,1827840,19200144,24361104,251662080,2720,448,0,0,True
37608,9.476139,254976,13424304,21472944,251662080,2656,64,0,0,True
37611,9.478126,1827840,19200144,24361104,251662080,2720,448,0,0,True
37676,9.541514,254976,13424304,21472944,251662080,2656,64,0,0,True
37680,9.543561,1827840,19200144,24361104,251662080,2720,448,0,0,True
37791,9.608299,254976,13424304,21472944,251662080,2656,64,0,0,True
37800,9.610244,1827840,19200144,24361104,251662080,2720,448,0,0,True
37869,9.675311,254976,13424304,21472944,251662080,2656,64,0,0,True
37873,9.677324,1827840,19200144,24361104,251662080,2720,448,0,0,True
37941,9.741665,254976,13424304,21472944,251662080,2656,64,0,0,True
37945,9.743701,221184,13549776,21536976,251662080,384,384,0,0,True
37949,9.745451,1827840,19200144,24361104,251662080,2720,448,0,0,True
37957,9.808417,254976,13424304,21472944,251662080,2656,64,0,0,True
37961,9.810447,1827840,19200144,24361104,251662080,2720,448,0,0,True
37997,9.875191,254976,13424304,21472944,251662080,2656,64,0,0,True
38001,9.877188,1827840,19200144,24361104,251662080,2720,448,0,0,True
38015,9.941192,254976,13424304,21472944,251662080,2656,64,0,0,True
38019,9.943257,221184,13549776,21536976,251662080,384,384,0,0,True
38023,9.94501,1827840,19200144,24361104,251662080,2720,448,0,0,True
39140,10.321865,1827840,19200144,24361104,251662080,2720,448,0,0,True
39148,10.335185,254976,13424304,21472944,251662080,2656,64,0,0,True
39152,10.341834,254976,13424304,21472944,251662080,2656,64,0,0,True
39156,10.343825,1827840,19200144,24361104,251662080,2720,448,0,0,True
39164,10.408385,254976,13424304,21472944,251662080,2656,64,0,0,True
39168,10.410402,1827840,19200144,24361104,251662080,2720,448,0,0,True
39176,10.475274,254976,13424304,21472944,251662080,2656,64,0,0,True
39180,10.477321,1827840,19200144,24361104,251662080,2720,448,0,0,True
39188,10.541779,254976,13424304,21472944,251662080,2656,64,0,0,True
39192,10.543813,1827840,19200144,24361104,251662080,2720,448,0,0,True
39200,10.608275,254976,13424304,21472944,251662080,2656,64,0,0,True
39204,10.610271,1827840,19200144,24361104,251662080,2720,448,0,0,True
39214,10.675357,254976,13424304,21472944,251662080,2656,64,0,0,True
39218,10.677404,1827840,19200144,24361104,251662080,2720,448,0,0,True
